"tick","Total Cars","Total Cyclists","Total Walkers","Total Pub Transport","Average Health","Average Cycle Ability","Average Safety Perception"
180.5,207,46,81,91,0.761849,0.502057,0.59473
181.5,210,52,77,87,0.762186,0.5027,0.595317
182.5,220,37,73,96,0.7621,0.5027,0.595317
183.5,217,37,77,95,0.762057,0.5027,0.595318
184.5,215,31,80,100,0.761993,0.5027,0.595318
185.5,204,37,93,92,0.762174,0.5027,0.595318
186.5,208,45,86,87,0.762384,0.5027,0.595318
187.5,198,40,97,91,0.762669,0.5027,0.595318
188.5,209,38,84,96,0.762819,0.502168,0.594873
189.5,207,45,72,103,0.762977,0.502168,0.594872
190.5,206,42,74,105,0.763048,0.502168,0.594872
191.5,206,37,75,109,0.763062,0.502168,0.594872
192.5,191,52,88,96,0.763477,0.502168,0.594872
193.5,207,42,86,92,0.76365,0.502168,0.594872
194.5,211,45,87,84,0.763852,0.502168,0.594872
195.5,213,44,85,86,0.763623,0.502569,0.594181
196.5,222,44,75,87,0.763651,0.502569,0.594179
197.5,197,49,76,106,0.763881,0.502569,0.594178
198.5,194,45,74,115,0.764072,0.502569,0.594176
199.5,212,38,71,107,0.763987,0.502569,0.594175
200.5,215,44,73,96,0.763968,0.502569,0.594174
201.5,212,49,81,86,0.764098,0.502569,0.594174
202.5,213,46,79,91,0.764578,0.501965,0.594294
203.5,198,57,79,95,0.764925,0.501965,0.594294
204.5,204,51,75,99,0.765167,0.501965,0.594294
205.5,206,43,87,93,0.765372,0.501965,0.594295
206.5,214,52,77,86,0.765587,0.501965,0.594295
207.5,207,44,92,86,0.765819,0.501965,0.594295
208.5,216,41,86,86,0.765943,0.501965,0.594295
209.5,212,43,76,99,0.766277,0.501175,0.593758
210.5,200,43,87,100,0.766537,0.501175,0.593744
211.5,217,38,80,95,0.766579,0.501175,0.593736
212.5,222,44,70,94,0.766599,0.501175,0.593724
213.5,213,40,78,99,0.766643,0.501175,0.593716
214.5,221,41,78,90,0.766622,0.501175,0.593711
215.5,213,45,79,93,0.76676,0.501175,0.593707
216.5,215,45,83,88,0.767004,0.501082,0.594254
217.5,222,51,72,86,0.767151,0.501082,0.594252
218.5,224,38,85,84,0.767193,0.501082,0.594248
219.5,214,48,77,92,0.767349,0.501082,0.594247
220.5,215,45,88,83,0.767544,0.501082,0.594244
221.5,198,41,90,102,0.76784,0.501082,0.594243
222.5,220,34,83,94,0.767849,0.501082,0.594243
223.5,227,37,76,92,0.767951,0.500101,0.593774
224.5,209,44,67,112,0.768072,0.500101,0.593768
225.5,207,49,88,88,0.768418,0.500101,0.593759
226.5,201,44,100,87,0.768797,0.500101,0.593756
227.5,221,33,82,96,0.76879,0.500101,0.593752
228.5,228,45,78,81,0.768854,0.500101,0.593748
229.5,227,42,77,86,0.76888,0.500101,0.593744
230.5,222,43,76,92,0.768861,0.50051,0.593509
231.5,228,42,80,83,0.768838,0.50051,0.593506
232.5,230,44,68,91,0.768753,0.50051,0.593505
233.5,214,40,86,93,0.768855,0.50051,0.593504
234.5,209,39,94,91,0.768993,0.50051,0.593502
235.5,207,41,85,100,0.769112,0.50051,0.593502
236.5,219,42,85,87,0.769189,0.50051,0.593501
237.5,227,41,77,89,0.768552,0.500218,0.594182
238.5,220,34,94,86,0.768599,0.500218,0.594182
239.5,211,32,100,91,0.76876,0.500218,0.594181
240.5,211,45,88,90,0.769005,0.500218,0.594181
241.5,204,53,83,94,0.76934,0.500218,0.594181
242.5,209,44,81,100,0.769513,0.500218,0.594181
243.5,210,51,87,86,0.769844,0.500218,0.594182
244.5,215,49,91,80,0.769366,0.499985,0.593864
245.5,228,43,80,84,0.769407,0.499985,0.593869
246.5,205,51,87,92,0.769698,0.499985,0.593875
247.5,210,46,79,100,0.769859,0.499985,0.59388
248.5,220,46,78,91,0.769923,0.499985,0.593884
249.5,228,41,80,86,0.769885,0.499985,0.593888
250.5,215,38,85,97,0.769985,0.499985,0.593891
251.5,207,43,77,109,0.770093,0.500525,0.59466
252.5,218,46,80,92,0.770234,0.500525,0.594662
253.5,216,43,67,110,0.770252,0.500525,0.594665
254.5,211,46,81,98,0.770392,0.500525,0.594667
255.5,225,45,79,87,0.770453,0.500525,0.594668
256.5,216,56,79,85,0.770685,0.500525,0.59467
257.5,212,55,71,98,0.770881,0.500525,0.594671
258.5,217,48,85,87,0.771355,0.499681,0.59438
259.5,217,46,82,92,0.771457,0.499681,0.594378
260.5,213,50,77,97,0.771588,0.499681,0.594377
261.5,214,52,75,96,0.771736,0.499681,0.594375
262.5,206,54,87,90,0.772128,0.499681,0.594372
263.5,225,46,77,89,0.77225,0.499681,0.594371
264.5,225,44,82,86,0.772321,0.499681,0.59437
265.5,228,40,78,92,0.771982,0.498635,0.59414
266.5,224,49,70,95,0.772099,0.498635,0.594138
267.5,219,41,86,92,0.772202,0.498635,0.594137
268.5,220,51,86,81,0.772401,0.498635,0.594137
269.5,221,45,81,91,0.772499,0.498635,0.594135
270.5,223,54,66,95,0.772602,0.498635,0.594135
271.5,234,46,76,82,0.772536,0.498635,0.594134
272.5,226,48,82,83,0.772286,0.498238,0.593883
273.5,224,51,75,89,0.772367,0.498238,0.593882
274.5,226,52,73,88,0.772468,0.498238,0.593881
275.5,225,55,73,86,0.772578,0.498238,0.59388
276.5,228,43,77,91,0.772535,0.498238,0.59388
277.5,207,39,89,104,0.772693,0.498238,0.593879
278.5,202,48,86,103,0.772959,0.498238,0.593879
279.5,206,53,86,95,0.773359,0.499211,0.59414
280.5,226,54,73,87,0.773452,0.499211,0.594135
281.5,222,43,79,96,0.773453,0.499211,0.594132
282.5,221,48,78,93,0.773546,0.499211,0.594129
283.5,217,41,73,109,0.773497,0.499211,0.594127
284.5,209,48,86,97,0.773698,0.499211,0.594125
285.5,202,50,93,95,0.774024,0.499211,0.594123
286.5,216,51,77,97,0.774043,0.499642,0.594696
287.5,226,43,71,101,0.774039,0.499642,0.594706
288.5,211,56,79,95,0.774298,0.499642,0.59472
289.5,212,54,95,80,0.774584,0.499642,0.594727
290.5,212,48,82,99,0.774684,0.499642,0.594737
291.5,207,46,89,99,0.774843,0.499642,0.594741
292.5,220,44,83,94,0.774895,0.499642,0.594746
293.5,230,40,83,89,0.775148,0.49964,0.594792
294.5,211,46,89,96,0.775211,0.49964,0.594795
295.5,201,59,91,91,0.775545,0.49964,0.594798
296.5,206,54,101,81,0.775827,0.49964,0.594802
297.5,217,53,80,92,0.775923,0.49964,0.594804
298.5,220,46,91,85,0.776027,0.49964,0.594806
299.5,207,51,82,102,0.776268,0.49964,0.594808
300.5,211,47,79,106,0.775707,0.500081,0.594645
